Combined ID	Diagram Name	Lifecycle Phase	Architecture Domain	Abstraction Level	UI Card Description	Intent Trigger Keywords	Core GCP Services Featured	Notation Standard	Golden Example Payload	Generative Build Sequence	How to Handle Advanced Prompts	Target Audience & Persona	Live Railway Link
P4-GOV-L-05_ai_agent_approval_workflow	AI Agent Approval Workflow & Human-in-the-Loop Governance	Phase 4: Technical Deep-Dive & Security Validation	Strategy & Governance	Logical	Security, legal, and bias testing gates agents pass before production with Binary Authorization cryptographic attestation.	approval workflow, ai governance, bias testing, legal review, deployment gate, binary auth, kms attestation	Vertex AI Evaluation, Binary Authorization, Cloud KMS HSM, Cloud Tasks HITL, GKE Autopilot, Gemini 3.7 Flash, Cloud Audit Logs	Governance Gatekeeper Flow	Design an AI Agent Approval Workflow with automated red-teaming, Legal/Security review gates, Cloud KMS HSM attestation, and Binary Authorization signed GKE deployment.	1. Draw Developer IDE & Agent Manifest submission. 2. Draw Automated Security & Red-Teaming stage. 3. Draw Multi-Stakeholder Human Approval stage (Legal & AppSec). 4. Draw Binary Authorization KMS signing and Signed GKE deployment.	If [Regulated Financial/Health] requested: Require 3-key M-of-N multi-sig attestation from Legal, SecOps, and Compliance.	Creator: AI Governance Architect | Consumers: DevSecOps & Legal Teams | Stakeholders: Chief Compliance Officer / CISO	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-GOV-L-05_ai_agent_approval_workflow
P4-GOV-P-06_devsecops_ci_cd_pipeline	Enterprise DevSecOps Polyrepo CI/CD Pipeline Flow	Phase 4: Technical Deep-Dive & Security Validation	Strategy & Governance	Physical	Cloud Build polyrepo CI/CD, Artifact Registry, Trivy/SonarQube SAST, Binary Authorization, and GKE continuous deployment.	devsecops, ci cd, cloud build, artifact registry, binary authorization, sast, dast, sbom, gitops, argocd	Cloud Build, Artifact Registry, Binary Authorization, Cloud Deploy, GKE Autopilot, Secret Manager, Cloud KMS	Polyrepo GitOps Pipeline Flow	Build a DevSecOps CI/CD pipeline showing Developer Git push triggering Cloud Build, SonarQube SAST, Trivy container vulnerability scan, Cosign Binary Authorization signing, and ArgoCD progressive canary rollout to GKE.	1. Draw Source Code Stage (GitHub / Cloud Source Repos). 2. Draw Build & Test Stage (Cloud Build, Unit Tests). 3. Draw Security Quality Gate (SAST, DAST, SBOM, Binary Auth). 4. Draw Promotion & Deployment Stage (Cloud Deploy -> GKE Staging -> Canary Prod).	Enforce zero unsigned container deployments by verifying Binary Authorization attestation verification.	Creator: Lead DevSecOps Engineer | Consumers: Software Engineering Teams | Stakeholders: VP Engineering / Platform Lead	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-GOV-P-06_devsecops_ci_cd_pipeline
P4-APP-L-07_enterprise_event_driven_eda_mesh	Event-Driven Architecture (EDA) & Kafka Event Mesh	Phase 4: Technical Deep-Dive & Security Validation	App & Integration	Logical	Event broker mesh (Pub/Sub / Kafka), schema registry, event-driven consumer microservices, and DLQ handling.	eda, event driven, event mesh, kafka, pubsub, avro schema registry, dlq, dead letter queue, event sourcing	Cloud Pub/Sub, Managed Service for Apache Kafka, Cloud Run, Cloud Tasks, Cloud Bigtable, BigQuery	Distributed Event Mesh & DLQ Matrix	Design an Enterprise Event-Driven EDA Mesh with Cloud Pub/Sub and Managed Kafka brokers, Confluent Schema Registry, 3 consumer microservice groups, and automated Dead-Letter Queue (DLQ) retry routing.	1. Draw Event Producers on left. 2. Draw Central Event Mesh (Partitioned Topics, Schema Registry). 3. Draw Decoupled Consumer Groups. 4. Draw DLQ Error & Poison Pill Handling container. 5. Route analytical copies to BigQuery.	If [Exactly-Once Semantics] requested: Add Deduplication IDs and idempotent database transaction writes.	Creator: Principal Integration Architect | Consumers: Backend & Event Stream Developers | Stakeholders: Application Architecture Lead	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-APP-L-07_enterprise_event_driven_eda_mesh
P4-APP-L-08_serverless_eda_architecture	Serverless EDA Architecture	Phase 4: Technical Deep-Dive & Security Validation	App & Integration	Logical	Cloud Run serverless microservices, Eventarc triggers, Cloud Tasks queues, and Firestore / MemoryStore cache.	serverless eda, cloud run, eventarc, pubsub, gemini predictive engine, bigtable, looker reporting	Cloud Run, Eventarc, Cloud Pub/Sub, Cloud Tasks, Cloud Bigtable, Vertex AI Gemini Platform, BigQuery, Looker Studio	Serverless Microservice Flow	Build a Serverless EDA architecture on GCP where GE App clients and IoT Sensors trigger Cloud Run ingestion via Eventarc, stream to Cloud Bigtable, run Gemini Predictive Maintenance, and push alerts via Cloud Tasks.	1. Draw Ingestion Edge (GE App Mobile, IoT Sensors). 2. Draw Serverless Processing Hub (Eventarc -> Cloud Run Microservices). 3. Draw Real-Time Bigtable & Gemini AI Analytics. 4. Draw Outbound Async Action Queues (Cloud Tasks -> Notifications).	Ensure 100% density with GE App mobile triggers, time-series telemetry, and sub-100ms processing SLAs.	Creator: Principal Serverless Architect | Consumers: Cloud Native Developers | Stakeholders: Head of Cloud Engineering	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-APP-L-08_serverless_eda_architecture
P4-DAT-P-09_multimodal_ingestion_flow	Agentic Multi-Modal Ingestion Flow	Phase 4: Technical Deep-Dive & Security Validation	Data & Analytics	Physical	Physical ingestion of raw PDFs, FASTQ omics streams, Document AI extraction, GCS Bronze Lake, and BigQuery loading.	multimodal ingestion, document ai, pdf parsing, speech to text, video intelligence, embeddings, vector lake	Cloud Storage, Document AI, Speech-to-Text, Vertex AI Embeddings, BigQuery BigLake, Cloud Dataflow, Gemini 3.7 Flash	Multi-Modal Ingestion Pipeline	Design an Agentic Multi-Modal Ingestion Pipeline on GCP processing PDFs via Document AI, audio via Speech-to-Text, and video via Video Intelligence into GCS Bronze Lake, generating text-embedding-004 vectors for BigQuery BigLake.	1. Draw Raw Multi-Modal Ingress (PDF, Audio, Video, Sensor). 2. Draw Multi-Modal AI Extraction Processors. 3. Draw Chunking & Embedding Generation Tier. 4. Write to BigQuery BigLake Vector Index and Looker Audit Dashboard.	If [High-Volume Batch OCR] requested: Add Cloud Tasks distribution and Document AI batch processing pools.	Creator: Lead Data Pipeline Architect | Consumers: AI / ML Engineers | Stakeholders: Chief Data Architect	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-DAT-P-09_multimodal_ingestion_flow
P4-DAT-P-10_real_time_streaming_analytics	Real-Time Streaming Analytics & Telemetry Pipeline	Phase 4: Technical Deep-Dive & Security Validation	Data & Analytics	Physical	High-throughput Cloud Pub/Sub stream ingestion, Cloud Dataflow (Apache Beam) exact-once windowing, and BigQuery BI engine.	streaming analytics, pubsub, dataflow, apache beam, sliding window, bigquery bi engine, real time dashboard	Cloud Pub/Sub, Cloud Dataflow (Apache Beam), BigQuery BI Engine, Cloud Bigtable, Looker Studio, Cloud Monitoring	Real-Time Stream Processing Flow	Build a Real-Time Streaming Analytics Pipeline on GCP ingesting 100k msg/sec from Pub/Sub, processing sliding window aggregations in Dataflow Beam, and visualizing sub-second KPI updates in Looker.	1. Draw Edge IoT / App Stream Ingress. 2. Draw Cloud Pub/Sub Buffer. 3. Draw Dataflow Pipeline with Sliding Windows and ML Anomaly Scoring. 4. Sink to BigQuery for SQL analytics and Bigtable for low-latency lookups.	Enforce exact-once processing semantics and dead-letter queue (DLQ) error isolation.	Creator: Principal Streaming Architect | Consumers: Data Engineers & Analytics Teams | Stakeholders: Head of Data Engineering	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-DAT-P-10_real_time_streaming_analytics
P5-APP-L-01_six_rs_migration_matrix	6Rs Migration Disposition Matrix	Phase 5: Transition Planning & Operational Readiness	App & Integration	Logical	6Rs cloud migration disposition matrix: Rehost, Refactor, Rearchitect, Replatform, Retain, Retire evaluation framework.	6rs, migration matrix, rehost, replatform, refactor, retain, retire, repurchase, cloud disposition	Migrate for Compute Engine, Database Migration Service (DMS), GKE Autopilot, Cloud SQL, Cloud Monitoring	6Rs Migration & Portfolio Matrix	Generate a 6Rs Migration Disposition Matrix mapping 50 enterprise workloads across Business Value vs Technical Feasibility into Rehost (Compute Engine), Replatform (Cloud SQL), Refactor (GKE), and Retire buckets.	1. Draw Legacy Workload Inventory box. 2. Draw Multi-Criteria Assessment Decision Logic (Value vs Effort). 3. Draw 6 Destination Columns: Rehost, Replatform, Refactor, Repurchase, Retain, Retire. 4. Summarize target cloud cost savings.	Include GCAF Cost Optimization feedback loops and wave migration priority tags (Wave 1, 2, 3).	Creator: Principal Cloud Migration Architect | Consumers: Migration PMO & Engineering Leads | Stakeholders: CIO / Cloud Transformation Steering Committee	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-APP-L-01_six_rs_migration_matrix
P5-SEC-P-02_enterprise_sre_observability	Enterprise SRE & Observability Architecture	Phase 5: Transition Planning & Operational Readiness	Cloud Infra Security	Physical	OpenTelemetry collectors, Cloud Monitoring SLI/SLO error budgets, Cloud Trace, and PagerDuty escalation policies.	sre, observability, opentelemetry, cloud monitoring, cloud trace, error budget, sli, slo, pagerduty	Cloud Monitoring, Cloud Logging, Cloud Trace, Cloud Profiler, Google SecOps Chronicle, PagerDuty Integration	SRE Observability & Incident Command	Build an Enterprise SRE Observability architecture on GCP with OpenTelemetry Collector agents on GKE, Cloud Monitoring dashboards, Error Budget SLI/SLO tracking, Cloud Trace distributed tracing, and automated PagerDuty paging.	1. Draw GKE & Serverless Workload Tier with OpenTelemetry Sidecars. 2. Draw Unified Telemetry Collector Mesh. 3. Draw SRE Control Plane (SLI/SLO Error Budget Engine, Trace Analyzer). 4. Draw Incident Alerting & Automated Remediation Runbooks.	Include SecOps Chronicle threat telemetry correlation for unified SOC & SRE monitoring.	Creator: Principal Site Reliability Engineer (SRE) | Consumers: NOC, SRE & DevSecOps Teams | Stakeholders: VP Engineering / Head of SRE	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-SEC-P-02_enterprise_sre_observability
P5-GOV-P-03_golive_warroom_runbook	Go-Live Cutover & War Room Runbook	Phase 5: Transition Planning & Operational Readiness	Strategy & Governance	Physical	Enterprise Cutover War Room, T-24h to T+48h operational timeline, rollback criteria, and live executive command center.	go-live, cutover, war room, runbook, rollback plan, t-24h, dns cutover, release management	Cloud DNS, Cloud Load Balancing, Database Migration Service, Cloud Monitoring, Cloud Logging, Slack / PagerDuty Integration	War Room Operational Playbook	Generate a Go-Live Cutover War Room Runbook diagram detailing T-24h Pre-Flight checks, T-0 DNS Failover and Database Sync, and T+48h Post-Cutover telemetry monitoring with explicit Go/No-Go decision gates.	1. Draw War Room Command Center with Commander, Lead SRE, and CISO personas. 2. Draw T-24h to T+48h Chronological Timeline. 3. Draw Go/No-Go Decision Gate with Rollback Trigger Criteria. 4. Draw Live Verification Dashboard.	Include automated rollback trigger thresholds (e.g. Error Rate > 0.5% for 3 consecutive minutes).	Creator: Release Lead / Cutover Commander | Consumers: War Room SREs & Support Staff | Stakeholders: CIO, VP Engineering, Business Unit Heads	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-GOV-P-03_golive_warroom_runbook
P5-GOV-L-04_enterprise_sre_observability	Enterprise SRE Observability & Incident Triage Control Plane	Phase 5: Transition Planning & Operational Readiness	Strategy & Governance	Logical	Automated incident severity tagging (P1/P2), automated root-cause analysis (RCA), and SRE War Room dispatching.	incident triage, escalation, p1 p2 incidents, rca, root cause analysis, automated triage, war room dispatch	Cloud Monitoring Alerting, Gemini Enterprise AIOps, Cloud Functions, PagerDuty, Jira Service Desk, BigQuery Incident Store	Incident Escalation Swimlane	Design an Enterprise Incident Triage Control Plane showing Cloud Monitoring anomaly alerts auto-classified by Gemini into P1/P2/P3, automatically creating PagerDuty incidents and dispatching SRE War Room links.	1. Draw Alert Detection Ingress (SLO breaches, error spikes). 2. Draw AI Incident Classifier (Severity tagging, automated log correlation). 3. Draw Multi-Tier Escalation Swimlanes (L1 Automated -> L2 SRE On-Call -> L3 Core Eng). 4. Draw RCA Knowledge Base.	If [Autonomous Remediation] requested: Add Cloud Functions self-healing restart triggers for known transient errors.	Creator: Incident Commander / SRE Lead | Consumers: NOC & On-Call Engineers | Stakeholders: Head of Infrastructure	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-GOV-L-04_enterprise_sre_observability
P5-GOV-L-04_incident_triage_swimlane	Incident Triage & SRE Escalation Swimlane	Phase 5: Transition Planning & Operational Readiness	Strategy & Governance	Logical	3-tier SRE incident triage swimlane: L1 Alerting & Gemini RCA -> L2 Auto-Remediation -> L3 War Room bridge.	incident response, triage, escalation, swimlanes, on-call, alert routing, rca, pagerduty	Cloud Monitoring, Gemini Cloud Assist RCA, Cloud Workflows, Cloud Pub/Sub, PagerDuty, BigQuery Incident Ledger	3-Tier SRE Incident Triage Swimlane	Design a 3-tier SRE Incident Triage Swimlane on GCP with L1 Gemini Cloud Assist RCA, L2 Cloud Workflows auto-remediation, L3 PagerDuty War Room escalation, and BigQuery incident post-mortem ledger.	1. Draw L1 Automated Telemetry & Gemini Assist RCA tier. 2. Draw L2 Auto-Remediation & Runbook Execution tier. 3. Draw L3 Incident Commander War Room bridge tier. 4. Draw Post-Incident Review & BigQuery Dossier.	If [Critical Infrastructure] requested: Inject automated canary drain, DNS traffic diversion via Cloud DNS, and PagerDuty priority override.	Creator: Incident Commander / Lead SRE | Consumers: NOC & On-Call Engineers | Stakeholders: VP Reliability / Head of Infrastructure	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-GOV-L-04_incident_triage_swimlane
P5-AI-L-05_llm_capacity_quota_management	Comprehensive Topology for LLM Capacity Quota Management	Phase 5: Transition Planning & Operational Readiness	AI Agentic & LLMOps	Logical	Multi-region managed GKE inference clusters, Redis distributed rate-limiting, and Looker FinOps Cost Dashboards.	capacity quota, llm rate limiting, tpm rpm limits, token bucket, redis rate limiter, vertex ai quota	Apigee API Gateway, Memorystore for Redis, Vertex AI Model Endpoints, Cloud Load Balancing, BigQuery Billing, Looker	Dynamic Quota & Rate-Limiter Topology	Build an LLM Capacity and Quota Management architecture on GCP featuring Apigee AI Gateway rate limiting, Redis Token Bucket cache, multi-region Vertex AI quotas, and dynamic client prioritization.	1. Draw Client Ingress with priority tiers (Enterprise, Standard, Batch). 2. Draw Apigee Gateway with Redis Distributed Rate Limiter. 3. Draw Multi-Region Vertex AI Inference Quotas (us-central1, europe-west4). 4. Draw Quota Spillover & Queueing tier.	Include Token Consumption telemetry streaming into BigQuery for automated unit economics chargeback.	Creator: Principal FinOps & AI Architect | Consumers: AI Application SREs | Stakeholders: VP Engineering / Head of AI	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-AI-L-05_llm_capacity_quota_management
P5-AI-L-06_ai_coe_operating_model	AI Center of Excellence (CoE) Operating Model	Phase 5: Transition Planning & Operational Readiness	Strategy & Governance	Logical	AI Center of Excellence operating model governing foundation model token budgets, TPM/RPM limits, and cost controls.	ai coe, center of excellence, operating model, ai governance, prompt engineering standards, model selection	Vertex AI Agent Builder, Model Registry, BigQuery Analytics, Looker CoE Dashboard, Cloud IAM, Gemini 3.7 Flash	Organizational Governance Blueprint	Create an AI Center of Excellence (CoE) Operating Model diagram showing AI Steering Committee governance, central Platform & Prompt Engineering team, distributed Business Unit squads, and model catalog registry.	1. Draw Executive AI Steering Committee. 2. Draw Central AI CoE Core Team (Prompt Engineers, AI Security, Platform Leads). 3. Draw Embedded BU AI Squads. 4. Connect with Shared Asset Bus (Central Model Catalog, Prompt Templates, Evaluation Suite).	Include RACI responsibility matrix badges (Responsible, Accountable, Consulted, Informed) across governance milestones.	Creator: Chief AI Strategist / CoE Lead | Consumers: Enterprise AI Stakeholders | Stakeholders: Chief AI Officer / CEO / CTO	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-AI-L-06_ai_coe_operating_model
P5-AI-P-07_tech_llmops_lifecycle	LLMOps Prompt Configuration Lifecycle	Phase 5: Transition Planning & Operational Readiness	AI Agentic & LLMOps	Physical	Distributed PyTorch/JAX model evaluation, MMLU/HELM benchmarking datasets, LLM-as-a-Judge jury, and promotion gates.	llmops, prompt lifecycle, prompt versioning, llm as a judge, mmlu, helm, fine-tuning, rlhf, model registry	Vertex AI Pipelines, Vertex AI Model Registry, Cloud Build, Artifact Registry, BigQuery Evaluation Lake, Cloud Deploy, TPU v5e	Continuous MLOps Pipeline Flow	Build a Continuous LLMOps Lifecycle pipeline on GCP with Git-versioned Prompt YAMLs, automated Vertex AI Model Evaluation, LLM-as-a-Judge scoring, and canary promotion to production endpoints.	1. Draw Prompt Authoring & Git Versioning. 2. Draw Automated Evaluation Stage (MMLU benchmark, LLM-as-a-Judge jury). 3. Draw Model Registry Promotion Gate. 4. Draw Production Serving Endpoint with Live Feedback Telemetry.	Include automated prompt regression alerts if evaluation accuracy drops below 95%.	Creator: Principal MLOps Engineer | Consumers: Prompt Engineers & Data Scientists | Stakeholders: Head of AI Engineering	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-AI-P-07_tech_llmops_lifecycle
P5-DAT-P-08_dataops_anomaly_detection	DataOps & Anomaly Detection Architecture	Phase 5: Transition Planning & Operational Readiness	Data & Analytics	Physical	Cloud Monitoring automated data drift detection, statistical anomaly alarms, schema validation, and Slack SRE alerts.	dataops, anomaly detection, data drift, data quality, great expectations, monte carlo, dbt tests	BigQuery ML, Cloud Dataflow, Cloud Functions, Dataplex Data Quality, Cloud Monitoring, Slack Webhook Integration	DataOps Quality Control Plane	Design a DataOps and Anomaly Detection pipeline on GCP using BigQuery ML statistical models to detect data drift, triggering Cloud Functions alerts to Slack and halting broken downstream ETL pipelines.	1. Draw Ingestion Stream & Lakehouse Tables. 2. Draw Continuous Data Quality Engine (Dataplex Data Quality + BigQuery ML). 3. Draw Anomaly Evaluation Gate. 4. Draw Circuit Breaker Pipeline Halt & SRE Alerting.	If [Self-Healing Schema Drift] requested: Add automated column mutation schema evolution handlers.	Creator: Lead Data Reliability Engineer | Consumers: Data Engineers & Stewards | Stakeholders: Chief Data Officer	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-DAT-P-08_dataops_anomaly_detection
P5-GOV-P-09_bcdr_multi_region_failover	Multi-Region Active-Active Disaster Recovery	Phase 5: Transition Planning & Operational Readiness	Cloud Infra Security	Physical	Active-Passive multi-region DR with Cloud DNS health routing, Cloud Spanner/SQL cross-region replication, and automated RTO/RPO failover.	disaster recovery, bcdr, multi-region, active active, active passive, pilot light, cloud dns failover, rto rpo	Global L7 HTTPS Load Balancing, Cloud Armor WAF, Cloud SQL HA with Cross-Region Replica, Cloud Spanner, Cloud Storage Dual-Region, Cloud DNS	Active-Active Multi-Region Mesh	Build a Google Cloud Well-Architected Multi-Region Disaster Recovery blueprint with Cloud Armor Global Load Balancer, Active Region us-east1, Pilot Light Standby us-west1, cross-region Cloud SQL async replication, and Dual-Region GCS.	1. Draw Top Global Traffic Layer (Cloud DNS, Global Anycast LB, Cloud Armor). 2. Draw Left Container: Active Region (us-east1 Compute & DB). 3. Draw Right Container: Standby Region (us-west1 Compute & Replica DB). 4. Connect cross-region asynchronous data sync lines. 5. Annotate RTO 15m / RPO 1m targets.	Include 90% compute cost savings callout during standby pilot light state.	Creator: Principal Cloud DR Architect | Consumers: SREs & Business Continuity Leads | Stakeholders: CISO / Risk Management Committee	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P5-GOV-P-09_bcdr_multi_region_failover
IND-FINTECH-03_automated_personalized_financial_advising	Automated Personalized Financial Advising	Phase 6: Industry Specialized Solutions	Industry	Industry	Google Cloud Fintech Solution: Automated personalized financial advising with GE Fintech Assistant, Gemini 3.7 Pro Vision OCR, and Looker analytics.	fintech, financial advising, wealth management, document ocr, portfolio generation, dialogflow, pci-dss, sock2	GE Fintech Assistant App, Firebase Auth, Cloud Storage, BigQuery, Cloud SQL, Vertex AI Gemini 3.7 Pro Vision, Dialogflow CX, Looker	Multi-Tier FinTech Solution Topology	Create a Google Cloud FinTech solution architecture for Automated Personalized Financial Advising with GE Fintech Assistant app, Gemini 3.7 Pro Vision tax document parser, Dialogflow CX chat agent, and Looker portfolio analytics.	1. Draw Customer & Advisor Ingress (GE Fintech Assistant App, Web Banking). 2. Draw Secure Ingestion & Document Vault (GCS, Firebase Auth, Cloud KMS). 3. Draw AI Advisory Intelligence Core (Gemini Pro Vision OCR, Gemini Strategy Synthesis, Dialogflow CX). 4. Draw Analytics & Compliance Cockpit.	Enforce PCI-DSS tokenization boundaries and sub-second portfolio advice rendering.	Creator: Principal FinTech Architect | Consumers: Wealth Management Developers | Stakeholders: Chief Risk Officer / Head of Wealth	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=IND-FINTECH-03_automated_personalized_financial_advising
IND-MFG-02_ge_equipment_optimization_gemini	GE Equipment Optimization & Gemini AI Agents	Phase 6: Industry Specialized Solutions	Industry	Industry	GE Equipment telemetry, Manufacturing Data Engine (MDE), Vertex AI Orchestration, Gemini Multimodal Anomaly Detection, and Looker Cockpit.	manufacturing, industrial iot, equipment optimization, mde, predictive maintenance, digital twin, gemini agents	Manufacturing Data Engine (MDE), Cloud Pub/Sub, Cloud Bigtable, Vertex AI Agent Builder, Gemini 3.7 Flash, Looker Studio	Industrial IoT & Closed-Loop Agent Architecture	Build a Google Cloud Manufacturing blueprint for GE Industrial Equipment Optimization with Manufacturing Data Engine (MDE), Vertex AI Gemini Anomaly Detection Agent, and Looker Operational Cockpit.	1. Draw Industrial Factory Floor (Turbines, CNC Machines, Sensors). 2. Draw Manufacturing Data Engine (MDE) Ingestion Fabric. 3. Draw Gemini Predictive Maintenance Reasoning Agents. 4. Draw Looker Operational Cockpit with Actionable Dispatch Buttons.	Include zero unplanned downtime SLA tags and automated technician work-order dispatch triggers.	Creator: Principal Industrial Architect | Consumers: Plant Reliability Engineers | Stakeholders: VP Manufacturing Operations	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=IND-MFG-02_ge_equipment_optimization_gemini
IND-PHARMA-01_pharma_genomics_pipeline	Pharma-Specific Genomics & Drug Discovery Pipeline with Agentic AI	Phase 6: Industry Specialized Solutions	Industry	Industry	AlphaFold Pro Differentiable Protein Design, GKE TPU clusters, Gemini drug-discovery models, and BigQuery omics analytics.	pharma, genomics, drug discovery, alphafold, variant calling, fastq, gatk, bioinformatics, tpu clusters	Cloud Storage, GKE with Cloud TPUs (v5p), Vertex AI AlphaFold, BigQuery Omics, Cloud KMS CMEK, Transitive PSC	Bioinformatics Pipeline & TPU Cluster Mesh	Design a Google Native Pharma Genomics Pipeline on GCP with AlphaFold Pro protein folding, GKE TPU slices for variant calling, Gemini Drug Discovery models, and CMEK-encrypted omics lakehouse.	1. Draw On-Premises Omics Data Lake (Illumina Sequencers, FASTQ files). 2. Draw GKE TPU Compute Grid running GATK variant calling and AlphaFold Pro. 3. Draw Gemini Drug Discovery Synthesis Models. 4. Draw BigQuery Omics Analytics Lake with CMEK encryption.	Enforce 21 CFR Part 11 electronic records compliance and transitive PSC isolation.	Creator: Lead Bioinformatics Architect | Consumers: Drug Discovery Researchers | Stakeholders: Chief Scientific Officer / VP Research	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=IND-PHARMA-01_pharma_genomics_pipeline
IND-RETAIL-04_omnichannel_ecommerce_retail	OmniChannel Intelligent E-Commerce Commerce Platform	Phase 6: Industry Specialized Solutions	Industry	Industry	Cloud CDN, Cloud Run Microservices, Vertex AI Search for Retail, AlloyDB pgvector, Cloud Spanner, and BigQuery Analytics.	retail, ecommerce, omnichannel, vertex ai search for retail, personalization, product recommendations, inventory sync	Cloud CDN, Cloud Run, Vertex AI Search for Retail, Cloud Spanner, AlloyDB for PostgreSQL, BigQuery, Looker Studio, Gemini 3.7 Flash	OmniChannel Retail Solution Topology	Build an OmniChannel Intelligent E-Commerce Platform with Cloud CDN, Vertex AI Search for Retail recommendations, Cloud Spanner global inventory sync, and AlloyDB AI personalized checkout.	1. Draw Shopper Ingress (Mobile App, Web Storefront, In-Store POS). 2. Draw Edge CDN & Personalization Tier (Vertex AI Search for Retail). 3. Draw Transaction Core (Cloud Spanner globally consistent inventory). 4. Draw BigQuery Customer 360 Analytics.	Include sub-100ms personalized catalog search SLAs and multi-region failover resilience.	Creator: Principal Retail Architect | Consumers: E-Commerce App Developers | Stakeholders: Chief Digital Officer / Head of E-Commerce	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=IND-RETAIL-04_omnichannel_ecommerce_retail
IND-MFG-05_smart_manufacturing_iot	Smart Factory Industry 4.0 IoT & Predictive Maintenance	Phase 6: Industry Specialized Solutions	Industry	Industry	GDC Edge sensor aggregation, Cloud Dataflow, Cloud Bigtable, BigQuery, and Vertex AI predictive maintenance.	smart factory, industry 4.0, iot edge, google distributed cloud edge, predictive maintenance, oee, scada	Google Distributed Cloud (GDC) Edge, Cloud Pub/Sub, Cloud Dataflow, Cloud Bigtable, Vertex AI ML, Looker Studio, Gemini 3.7 Flash	Smart Factory Edge-to-Cloud Mesh	Design a Smart Factory Industry 4.0 IoT architecture with Google Distributed Cloud (GDC) Edge on-premise gateways, Cloud Pub/Sub, Bigtable time-series store, and Vertex AI predictive maintenance algorithms.	1. Draw Smart Factory Floor with GDC Edge appliances. 2. Draw Edge-to-Cloud Pub/Sub Ingestion Bridge. 3. Draw Real-Time Bigtable Time-Series Analytics. 4. Draw Vertex AI Predictive Maintenance Model scoring machine health.	Include Overall Equipment Effectiveness (OEE) metrics dashboard and automated maintenance ticket creation.	Creator: Principal IoT Solutions Architect | Consumers: Factory Automation Engineers | Stakeholders: VP Plant Operations / Manufacturing CIO	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=IND-MFG-05_smart_manufacturing_iot
IND-HR-06_workforce_talent_ai	WorkforceAI Enterprise HR Talent & People Intelligence	Phase 6: Industry Specialized Solutions	Industry	Industry	Document AI resume parsing, skills gap vector embeddings in AlloyDB pgvector, Gemini candidate evaluation, and Looker Talent Cockpit.	hr talent, workforce ai, resume parsing, candidate matching, skills vector, people analytics, unbiased hiring	Document AI, AlloyDB with pgvector, Vertex AI Gemini 3.7 Flash, Model Armor (Bias Redaction), BigQuery, Looker Studio	Enterprise HR Talent Intelligence Mesh	Build a WorkforceAI Enterprise HR Platform on GCP with Document AI resume parsing, AlloyDB pgvector skills matching, Gemini 3.7 candidate scoring with bias mitigation guardrails, and Looker Executive Talent Cockpit.	1. Draw Applicant & Employee Ingress (ATS, LinkedIn, Internal HRIS). 2. Draw Document AI Resume & Review Parser. 3. Draw Skills Vector Embedding Engine in AlloyDB. 4. Draw Gemini Candidate Matcher with Bias Guardrails. 5. Draw Looker Talent Dashboard.	Enforce strict PII anonymization before LLM scoring to eliminate candidate demographic bias.	Creator: Lead HR Tech Solutions Architect | Consumers: HR Application Developers | Stakeholders: Chief People Officer / VP Talent Acquisition	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=IND-HR-06_workforce_talent_ai
